Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
2775,46,        .8,       1.6,       5.3,       8.7,      13.6,      16.5,      18.6,      18.2,      14.1,       9.3,       4.4,       1.9,       9.4
2780,46,       -.8,0,       3.8,       7.4,      12.7,      15.5,      17.4,17,13,8,       3.2,        .6,       8.2
2783,46,      -1.1,0,       4.2,       7.8,      13.3,16,18,      17.6,      13.4,       8.4,       3.1,        .4,       8.4
2790,46,        .6,       1.2,       4.6,       7.7,      12.3,      15.1,      17.3,      16.9,13,       8.6,4,       1.8,       8.6
2794,46,        .2,        .8,       4.1,       7.9,      13.2,16,18,      17.7,      13.6,9,       4.3,       1.6,       8.9
2796,46,        .2,        .7,       3.3,       6.9,      11.8,      14.9,17,      16.9,      13.1,       8.9,       4.3,       1.7,       8.3
2812,51,       1.4,       2.7,       6.3,       9.5,      14.1,17,      19.2,      18.7,15,      10.3,5,       2.7,      10.1
2814,51,      -1.7,       -.8,       2.4,       5.8,      10.7,      13.7,      15.9,      15.7,      11.9,       7.3,       2.1,       -.4,       6.8
2821,46,        .6,1,       4.2,       7.6,      12.5,      15.1,      17.1,      16.9,      13.1,       8.8,       4.4,       1.9,       8.6
2829,46,      -1.1,       -.2,       3.6,       6.8,12,      14.8,      17.1,      16.8,      12.9,       8.1,       2.7,        .2,       7.8
2830,46,-1,       -.2,       3.6,       6.8,12,      14.8,17,      16.8,      12.9,       8.1,       2.8,        .2,       7.8
2831,46,-1,        .2,       4.4,       8.1,      13.5,      16.3,      18.2,      17.8,      13.6,       8.6,       3.2,        .5,       8.6
2843,46,       1.5,       2.3,       6.2,       9.6,      14.3,      17.2,      19.4,19,      14.9,       9.9,       5.1,       2.7,      10.2
2856,46,        .2,        .9,       4.4,       8.2,      13.6,      16.5,      18.6,      18.1,      13.8,       9.1,       4.1,       1.5,       9.1
2857,46,        .4,1,       4.6,       8.1,13,      15.7,      17.9,      17.5,      13.6,       8.9,       4.2,       1.7,       8.9
2861,46,       2.1,       2.2,       4.5,       7.3,      11.6,      14.3,      16.7,17,      14.1,      10.2,6,       3.4,       9.1
2872,46,       1.9,       2.1,       4.9,       7.9,      12.6,      15.1,      17.1,      16.9,      13.6,       9.6,       5.5,       3.1,       9.2
2878,51,        .8,       1.4,       4.9,       8.5,      13.7,      16.7,      18.8,      18.5,      14.3,       9.5,       4.5,2,       9.4
2879,46,        .6,       1.4,       5.3,       8.6,      13.5,      16.5,      18.5,18,      13.9,9,       4.3,       1.9,       9.3
2886,46,       -.7,        .3,4,       7.3,      12.3,      15.2,      17.4,17,      13.1,       8.3,       3.1,        .5,       8.1
2905,46,       -.9,0,       3.9,       7.2,      12.4,      15.2,      17.4,17,      13.2,       8.2,3,        .3,       8.1
2906,46,1,       1.1,       3.3,       6.5,      11.1,      14.1,      16.2,16,      12.8,       9.1,       4.9,       2.5,       8.2
